Center	Category	Censo	Votos
DERECHO	Permanente	163	133
DERECHO	No_Permanente	47	17
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3693	378
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	179	135
ECONOMICAS	No_Permanente	109	37
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3279	147
ECONOMICAS	PTGAS	0	0
EPS	Permanente	71	45
EPS	No_Permanente	61	18
EPS	PDIF	0	0
EPS	Estudiantes	1349	343
EPS	PTGAS	0	0
FILOSOFIA	Permanente	301	191
FILOSOFIA	No_Permanente	113	43
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4919	323
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	157	108
MEDICINA	No_Permanente	434	92
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	3272	499
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	91	62
PROFESORADO	No_Permanente	123	42
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	3137	169
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	118	85
PSICOLOGIA	No_Permanente	47	14
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1942	88
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	614	203
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1045	676
CIENCIAS	Permanente	531	395
CIENCIAS	No_Permanente	342	100
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	5376	608
CIENCIAS	PTGAS	0	0
