Center	Candidate	Category	Votos
DERECHO	JUAN DAMIAN MORENO	Permanente	73
DERECHO	JUAN DAMIAN MORENO	No_Permanente	6
DERECHO	JUAN DAMIAN MORENO	PDIF	0
DERECHO	JUAN DAMIAN MORENO	Estudiantes	110
DERECHO	JUAN DAMIAN MORENO	PTGAS	0
DERECHO	RAFAEL GARESSE ALARCON	Permanente	35
DERECHO	RAFAEL GARESSE ALARCON	No_Permanente	2
DERECHO	RAFAEL GARESSE ALARCON	PDIF	0
DERECHO	RAFAEL GARESSE ALARCON	Estudiantes	16
DERECHO	RAFAEL GARESSE ALARCON	PTGAS	0
ECONOMICAS	RAFAEL GARESSE ALARCON	Permanente	35
ECONOMICAS	RAFAEL GARESSE ALARCON	No_Permanente	7
ECONOMICAS	RAFAEL GARESSE ALARCON	PDIF	0
ECONOMICAS	RAFAEL GARESSE ALARCON	Estudiantes	15
ECONOMICAS	RAFAEL GARESSE ALARCON	PTGAS	0
ECONOMICAS	JUAN DAMIAN MORENO	Permanente	71
ECONOMICAS	JUAN DAMIAN MORENO	No_Permanente	15
ECONOMICAS	JUAN DAMIAN MORENO	PDIF	0
ECONOMICAS	JUAN DAMIAN MORENO	Estudiantes	110
ECONOMICAS	JUAN DAMIAN MORENO	PTGAS	0
EPS	JUAN DAMIAN MORENO	Permanente	18
EPS	JUAN DAMIAN MORENO	No_Permanente	5
EPS	JUAN DAMIAN MORENO	PDIF	0
EPS	JUAN DAMIAN MORENO	Estudiantes	48
EPS	JUAN DAMIAN MORENO	PTGAS	0
EPS	RAFAEL GARESSE ALARCON	Permanente	30
EPS	RAFAEL GARESSE ALARCON	No_Permanente	12
EPS	RAFAEL GARESSE ALARCON	PDIF	0
EPS	RAFAEL GARESSE ALARCON	Estudiantes	72
EPS	RAFAEL GARESSE ALARCON	PTGAS	0
FILOSOFIA	RAFAEL GARESSE ALARCON	Permanente	56
FILOSOFIA	RAFAEL GARESSE ALARCON	No_Permanente	16
FILOSOFIA	RAFAEL GARESSE ALARCON	PDIF	0
FILOSOFIA	RAFAEL GARESSE ALARCON	Estudiantes	30
FILOSOFIA	RAFAEL GARESSE ALARCON	PTGAS	0
FILOSOFIA	JUAN DAMIAN MORENO	Permanente	94
FILOSOFIA	JUAN DAMIAN MORENO	No_Permanente	29
FILOSOFIA	JUAN DAMIAN MORENO	PDIF	0
FILOSOFIA	JUAN DAMIAN MORENO	Estudiantes	155
FILOSOFIA	JUAN DAMIAN MORENO	PTGAS	0
MEDICINA	RAFAEL GARESSE ALARCON	Permanente	66
MEDICINA	RAFAEL GARESSE ALARCON	No_Permanente	46
MEDICINA	RAFAEL GARESSE ALARCON	PDIF	0
MEDICINA	RAFAEL GARESSE ALARCON	Estudiantes	250
MEDICINA	RAFAEL GARESSE ALARCON	PTGAS	0
MEDICINA	JUAN DAMIAN MORENO	Permanente	45
MEDICINA	JUAN DAMIAN MORENO	No_Permanente	43
MEDICINA	JUAN DAMIAN MORENO	PDIF	0
MEDICINA	JUAN DAMIAN MORENO	Estudiantes	134
