Center	Category	Censo	Votos
DERECHO	Permanente	150	75
DERECHO	No_Permanente	70	17
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3573	271
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	170	100
ECONOMICAS	No_Permanente	122	34
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3468	352
ECONOMICAS	PTGAS	0	0
EPS	Permanente	78	51
EPS	No_Permanente	65	18
EPS	PDIF	0	0
EPS	Estudiantes	1496	166
EPS	PTGAS	0	0
FILOSOFIA	Permanente	294	141
FILOSOFIA	No_Permanente	157	35
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4217	696
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	161	82
MEDICINA	No_Permanente	506	60
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	3143	328
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	115	50
PROFESORADO	No_Permanente	135	17
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	2697	141
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	108	66
PSICOLOGIA	No_Permanente	83	16
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1803	272
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	463	81
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1128	666
CIENCIAS	Permanente	479	186
CIENCIAS	No_Permanente	489	57
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	6017	767
CIENCIAS	PTGAS	0	0
