Center	Candidate	Category	Votos
DERECHO	AMAYA MENDIKOETXEA PELAYO	Permanente	51
DERECHO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	9
DERECHO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
DERECHO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	71
DERECHO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Permanente	64
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	17
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	63
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
EPS	AMAYA MENDIKOETXEA PELAYO	Permanente	40
EPS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	14
EPS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
EPS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	49
EPS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Permanente	73
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	17
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	37
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Permanente	58
MEDICINA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	51
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	250
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Permanente	25
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	7
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	28
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Permanente	27
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	9
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	19
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	Permanente	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	No_Permanente	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	PDIF	20
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	Estudiantes	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	Permanente	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	201
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	Permanente	104
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	27
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	60
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
