Center	Category	Censo	Votos
DERECHO	Permanente	150	109
DERECHO	No_Permanente	70	27
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3573	169
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	170	115
ECONOMICAS	No_Permanente	122	31
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3468	121
ECONOMICAS	PTGAS	0	0
EPS	Permanente	78	59
EPS	No_Permanente	65	32
EPS	PDIF	0	0
EPS	Estudiantes	1496	120
EPS	PTGAS	0	0
FILOSOFIA	Permanente	294	193
FILOSOFIA	No_Permanente	157	55
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4218	237
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	161	129
MEDICINA	No_Permanente	506	138
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	3143	189
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	115	74
PROFESORADO	No_Permanente	135	28
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	2697	52
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	108	85
PSICOLOGIA	No_Permanente	83	21
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1803	83
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	465	141
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1112	779
CIENCIAS	Permanente	479	314
CIENCIAS	No_Permanente	489	142
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	6017	259
CIENCIAS	PTGAS	0	0
