Center	Candidate	Category	Votos
DERECHO	AMAYA MENDIKOETXEA PELAYO	Permanente	61
DERECHO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	15
DERECHO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
DERECHO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	83
DERECHO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
DERECHO	JAVIER ORTEGA GARCIA	Permanente	40
DERECHO	JAVIER ORTEGA GARCIA	No_Permanente	11
DERECHO	JAVIER ORTEGA GARCIA	PDIF	0
DERECHO	JAVIER ORTEGA GARCIA	Estudiantes	73
DERECHO	JAVIER ORTEGA GARCIA	PTGAS	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Permanente	55
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	16
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	38
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
ECONOMICAS	JAVIER ORTEGA GARCIA	Permanente	47
ECONOMICAS	JAVIER ORTEGA GARCIA	No_Permanente	12
ECONOMICAS	JAVIER ORTEGA GARCIA	PDIF	0
ECONOMICAS	JAVIER ORTEGA GARCIA	Estudiantes	79
ECONOMICAS	JAVIER ORTEGA GARCIA	PTGAS	0
EPS	AMAYA MENDIKOETXEA PELAYO	Permanente	28
EPS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	15
EPS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
EPS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	43
EPS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
EPS	JAVIER ORTEGA GARCIA	Permanente	26
EPS	JAVIER ORTEGA GARCIA	No_Permanente	16
EPS	JAVIER ORTEGA GARCIA	PDIF	0
EPS	JAVIER ORTEGA GARCIA	Estudiantes	68
EPS	JAVIER ORTEGA GARCIA	PTGAS	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Permanente	123
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	38
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	86
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
FILOSOFIA	JAVIER ORTEGA GARCIA	Permanente	53
FILOSOFIA	JAVIER ORTEGA GARCIA	No_Permanente	12
FILOSOFIA	JAVIER ORTEGA GARCIA	PDIF	0
FILOSOFIA	JAVIER ORTEGA GARCIA	Estudiantes	117
FILOSOFIA	JAVIER ORTEGA GARCIA	PTGAS	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Permanente	68
MEDICINA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	87
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	135
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
MEDICINA	JAVIER ORTEGA GARCIA	Permanente	56
MEDICINA	JAVIER ORTEGA GARCIA	No_Permanente	44
MEDICINA	JAVIER ORTEGA GARCIA	PDIF	0
MEDICINA	JAVIER ORTEGA GARCIA	Estudiantes	45
MEDICINA	JAVIER ORTEGA GARCIA	PTGAS	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Permanente	44
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	18
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	30
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PROFESORADO	JAVIER ORTEGA GARCIA	Permanente	20
PROFESORADO	JAVIER ORTEGA GARCIA	No_Permanente	5
PROFESORADO	JAVIER ORTEGA GARCIA	PDIF	0
PROFESORADO	JAVIER ORTEGA GARCIA	Estudiantes	15
PROFESORADO	JAVIER ORTEGA GARCIA	PTGAS	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Permanente	61
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	14
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	53
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PSICOLOGIA	JAVIER ORTEGA GARCIA	Permanente	19
PSICOLOGIA	JAVIER ORTEGA GARCIA	No_Permanente	5
PSICOLOGIA	JAVIER ORTEGA GARCIA	PDIF	0
PSICOLOGIA	JAVIER ORTEGA GARCIA	Estudiantes	24
PSICOLOGIA	JAVIER ORTEGA GARCIA	PTGAS	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	Permanente	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	No_Permanente	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	PDIF	82
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	Estudiantes	0
RECTORADO_PDIF	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
RECTORADO_PDIF	JAVIER ORTEGA GARCIA	Permanente	0
RECTORADO_PDIF	JAVIER ORTEGA GARCIA	No_Permanente	0
RECTORADO_PDIF	JAVIER ORTEGA GARCIA	PDIF	42
RECTORADO_PDIF	JAVIER ORTEGA GARCIA	Estudiantes	0
RECTORADO_PDIF	JAVIER ORTEGA GARCIA	PTGAS	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	Permanente	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	0
RECTORADO_PAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	349
RECTORADO_PAS	JAVIER ORTEGA GARCIA	Permanente	0
RECTORADO_PAS	JAVIER ORTEGA GARCIA	No_Permanente	0
RECTORADO_PAS	JAVIER ORTEGA GARCIA	PDIF	0
RECTORADO_PAS	JAVIER ORTEGA GARCIA	Estudiantes	0
RECTORADO_PAS	JAVIER ORTEGA GARCIA	PTGAS	332
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	Permanente	173
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	85
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	111
CIENCIAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
CIENCIAS	JAVIER ORTEGA GARCIA	Permanente	109
CIENCIAS	JAVIER ORTEGA GARCIA	No_Permanente	44
CIENCIAS	JAVIER ORTEGA GARCIA	PDIF	0
CIENCIAS	JAVIER ORTEGA GARCIA	Estudiantes	126
CIENCIAS	JAVIER ORTEGA GARCIA	PTGAS	0
